Become A Seller,A売主になります
You saved this group.,あなたはこのグループを保存しました。
Something went wrong while saving the seller.,売り手の保存中に何かが間違っていました。
Invoices,請求書
Manage Invoices,請求書を管理します
The message has been deleted.,メッセージは削除されました。
We can't find a message to delete.,私たちは、削除するメッセージを見つけることができません。
Messages,メッセージ
Manage Messages,メッセージの管理
You saved this message.,あなたは、このメッセージを保存しました。
Orders,受注
Manage Orders,受注管理
Manager Payment Method,マネージャーのお支払い方法
Manager Payment,マネージャーのお支払い
You saved this payment.,あなたはこの支払いを救いました。
Product has been set commission.,製品は、セットの手数料となっています。
Ratings,評価
A total of %1 record(s) have been accept.,％1つのレコード（複数可）の合計は、受け付けていました。
A total of %1 record(s) have been reject.,％1つのレコード（複数可）の合計が拒否されました。
You saved this rating.,あなたはこの評価を救いました。
Something went wrong while saving the rating.,評価を保存中に何かが間違っていました。
Refunds,払い戻し
Manage Refunds,払い戻しを管理します
Refundrequests,Refundrequests
Manage Refundrequests,管理Refundrequests
Reviews,レビュー
Manage Reviews,レビューを管理します
A total of %1 record(s) have been approved.,％1のレコード（複数可）の合計が承認されています。
A total of %1 record(s) have been disapproved.,％1レコード（複数可）の合計は、承認されました。
The seller has been disapproved.,売り手が承認されませんでした。
We can't find a seller to disapproved.,私たちは、不承認に売り手を見つけることができません。
The seller has been approved.,売り手は承認されています。
We can't find a seller to approved.,私たちは、販売者が承認する見つけることができません。
Something went wrong while saving the page.,ページの保存中に何かが間違っていました。
You saved this seller.,あなたはこの販売者を救いました。
SellerProducts,SellerProducts
Manage SellerProducts,SellerProductsを管理します
A total of %1 record(s) have been accepted.,％1つのレコード（複数可）の合計は、受け入れられています。
A total of %1 record(s) have been rejected.,％1レコード（複数可）の合計が拒否されました。
Transactions,取引
Manage Transactions,トランザクションを管理します
Withdrawal,撤退
Manage Withdrawals,引き出しを管理します
This withdrawal no longer exits. ,この撤退はもはや終了します。
Edit Withdrawal,編集撤退
	Withdraw Money : Amount ,お金を引き出す：金額
You must have a seller account to access,あなたはアクセスに売り手のアカウントを持っている必要があります
You must have a account to access,あなたはアクセスにアカウントを持っている必要があります
"Attribute ""%1"" is required.",属性「％1」が必要です。
You saved the category.,あなたは、カテゴリを救いました。
Something went wrong while saving the category.,カテゴリを保存中に何かが間違っていました。
This order no longer exists.,この順序は存在しません。
You are not authorize to manage this order.,あなたはこの順番を管理するために認可されていません。
The invoice no longer exists.,請求書は存在しません。
You are not authorize to view this invoice.,あなたは、この請求書を閲覧するために認可されていません。
The creditmemo no longer exists.,creditmemoは存在しません。
You are not authorize to view this creditmemo.,あなたはこのcreditmemoを表示するために認可されていません。
The order has been cancelled.,注文はキャンセルされました。
You are not permitted to cancel this order.,あなたはこの注文をキャンセルすることはできません。
We can't cancel order right now.,私たちは今、注文をキャンセルすることはできません。
The credit memo's total must be positive.,クレジットメモの合計が正でなければなりません。
Cannot create online refund for Refund to Store Credit.,ストアクレジットへの払い戻しのためのオンライン・返金を作成することはできません。
You created the credit memo.,あなたはクレジットメモを作成しました。
We can't create credit memo for order right now.,私たちは今、注文のクレジットメモを作成することはできません。
You sent the order email.,あなたは、注文のメールを送りました。
We can't send the email order right now.,私たちは今、メールオーダーを送信することはできません。
Can not create invoice as order is in HOLD state,注文がHOLD状態にあるとして請求書を作成することはできません。
We can't save the invoice right now.,私たちは、今請求書を保存することはできません。
You can't create an invoice without products.,あなたは、製品のない請求書を作成することはできません。
Invoice has been created for this order.,請求書は、この注文のために作成されています。
Cannot create Invoice for this order.,この注文の請求書​​を作成することはできません。
We can't create invoice for order right now.,私たちは今、注文の請求書​​を作成することはできません。
Can not create shipment as order is in HOLD state,注文がHOLD状態にあるとして、出荷を作成することはできません
Cannot do shipment for the order separately from invoice.,請求書とは別に注文の出荷を行うことはできません。
Cannot do shipment for the order.,注文の出荷を行うことはできません。
The shipment has been created.,出荷が作成されました。
The shipping label has been created.,出荷ラベルが作成されました。
We can't ship order right now.,私たちは今の順序を出荷することはできません。
That product is not yours,その製品はあなたのものではありません
This product no longer exists.,この製品は存在しません。
Catalog,カタログ
Default Values,デフォルト値
Could not get preview image information. Please check your connection and try again.,プレビュー画像情報を取得できませんでした。接続を確認して、もう一度お試しください。
Please correct the data sent value.,値送信されたデータを修正してください。
Show more,もっと見せる
Additional data,追加データ
Following Error(s) has been occurred during importing process:,エラー（s）は、以下のプロセスをインポート中に発生されています：
Only the first 100 errors are shown. ,初回のみ100のエラーが表示されます。
in row(s):,行の（S）：
Please make sure to define SKU values for all processed products.,すべての加工製品のためのSKU値を定義することを確認してください。
A total of %1 record(s) have been updated.,％1のレコード（複数可）の合計が更新されました。
Something went wrong while updating the product(s) status.,製品（s）は、ステータスを更新している間に何かが間違っていました。
"Your product limit is %1, please upgrade the membership package",お使いの製品の上限は％1で、メンバーシップのパッケージをアップグレードしてください
There is no data for the export.,輸出用のデータはありません。
Maximum error count has been reached or system error is occurred!,最大エラー数に達しているか、システムエラーが発生しています！
Import successfully done,インポートが正常に行われ
Unable to save product,製品を保存することができません。
You saved the product.,あなたは、製品を救いました。
SKU for product %1 has been changed to %2.,製品％1のSKUは、％2に変更されました。
You duplicated the product.,あなたは、製品を重複しました。
The image cannot be removed as it has been assigned to the other image role,それは他の画像役割に割り当てられているように、画像を削除することはできません
"Sorry, but the data is invalid or the file is not uploaded.",申し訳ありませんが、データが無効であるか、ファイルがアップロードされず。
The file was not uploaded.,ファイルがアップロードされていませんでした。
This file is empty. Please try another one.,このファイルは空です。別のものを試してみてください。
Data validation failed. Please fix the following errors and upload the file again.,データ検証に失敗しました。以下のエラーを修正して、もう一度ファイルをアップロードしてください。
"File is valid! To start import process press ""Import"" button",ファイルは有効です！インポートプロセスを押し、「インポート」ボタンを起動するには
"The file is valid, but we can't import it for some reason.",ファイルは有効ですが、我々はいくつかの理由のためにそれをインポートすることはできません。
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4",チェック行：％1、チェックエンティティ：％2、無効な行：％3、総エラー：％4
Please specify a carrier.,キャリアを指定してください。
Please enter a tracking number.,追跡番号を入力してください。
Cannot add tracking number.%1,追跡番号を追加することはできません。％1
We can't load track with retrieving identifier right now.%1,私たちは今、識別子の取得にトラックをロードすることはできません。％1
We can't initialize shipment for adding tracking number.,我々は追跡番号を追加するための出荷を初期化することはできません。
We can't delete tracking number.,我々は追跡番号を削除することはできません。
Something went wrong while saving the vacation.,休暇を節約しながら、何かが間違っていました。
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","あなたは、あなたのアカウントを確認する必要があります。確認用のリンクをあなたの電子メールをチェックしてくださいまたは<a href=""%1"">新しいリンクはこちら</a>をクリックしてください。"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","このメールアドレスのアカウントが既にあります。あなたはそれは、あなたのメールアドレスであることを確信している場合は<a href=""%1"">パスワードやアクセスしてアカウントを取得するには</a>にはこちらをクリックしてください。"
We can't save the customer.,私たちは、顧客を保存することはできません。
Please make sure your passwords match.,あなたのパスワードが一致していることを確認してください。
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","あなたが登録した付加価値税（VAT）のお客様の場合、<a href=""%1"">は、適切な付加価値税の計算のためにあなたの船積みの住所を入力する</a>をここをクリックしてください。"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","あなたが登録した付加価値税（VAT）のお客様の場合、<a href=""%1"">は、適切なVAT計算のための請求先住所を入力する</a>をここをクリックしてください。"
Thank you for registering with %1.,％1を登録ありがとうございます。
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","このアカウントは確認されていません。 <a href=""%1"">再送確認メールに</a>にはこちらをクリックしてください。"
Invalid login or password.,無効なログインまたはパスワード。
A login and a password are required.,ログインとパスワードが必要です。
Close,閉じる
Open,開いた
Processing,処理
Done,完了
Approved,承認
Not Approved,未承認
Reject,拒絶します
Accept,受け入れます
Enabled,使用可能
Disabled,無効
- Disable these emails -, - 無効にこれらのメール - 
List,リスト
Grid,グリッド
Product was not registered,製品が登録されていませんでした
Store was not registered,店が登録されていませんでした
URL key already exists.' .,URLキーがすでに存在しています。」 。
URL key for specified store already exists.,指定されたストアのURLキーがすでに存在しています。
Product Attribute,製品の属性
Subtotal,小計
Total Items Quantity,総アイテムの数量
Total Weight,総重量
Payment Method,支払方法
Shipping Method,配送方法
Shipping Postcode,送料郵便番号
Shipping Region,配送地域
Shipping State/Province,送料州/都道府県
Shipping Country,配送国
Product attribute combination,製品の属性の組み合わせ
Products subselection,製品のサブセレクション
Conditions combination,条件の組み合わせ
Cart Attribute,カート属性
Disapproved,不承認
Could not save the seller info: %1,販売者情報を保存できませんでした：％1
Not Submited,Submitedありません
Unapproved,未承認
"We can't process your request right now. Sorry, that's all we know.",私たちは今、あなたの要求を処理することはできません。申し訳ありませんが、それは我々が知っているすべてです。
Owl Carousel,フクロウカルーセル
Bootstrap Carousel,ブートストラップカルーセル
Amount from order,注文から量
invoice,請求書
Refunded,払い戻し
Refund from order,注文から返金
Edit,編集します
View Customer,見るカスタマー
View,見る
Delete,[削除]
"Delete ""${ $.$data.subject }""","削除 ""$ {$。$ data.subject}"""
"Are you sure you wan't to delete a ""${ $.$data.subject }"" record?","あなたが削除するwan'tてください。 ""$ {$を。$ data.subject}"" のレコード？"
Unread,未読
Read,読んだ
What is the reason to deny this product?,この製品を否定する理由は何ですか？
Deny,否定します
Reset,リセット
Do you want set commission for product?,あなたは、製品のための手数料を設定したいですか？
View Product,プロダクト
View Seller,ビュー売主
All Store Views,すべてのストアビュー
Delete ${ $.$data.name },削除$ {$。$のdata.name}
Are you sure you want to delete a ${ $.$data.name } record?,あなたは$ {$。$のdata.name}レコードを削除してもよろしいですか？
Approved ${ $.$data.name },承認された$ {$。$のdata.name}
Are you sure you want to enable a ${ $.$data.name } record?,あなたは$ {$。$のdata.name}レコードを有効にしてもよろしいですか？
Disapproved ${ $.$data.name },不承認$ {$。$ data.name}
Are you sure you want to disable a ${ $.$data.name } record?,あなたは$ {$。$のdata.name}レコードを無効にしてもよろしいですか？
Complete Withdrawal,完全撤退
Canceled,キャンセル
Add Attribute,属性の追加
Add Selected,選択された追加
Select Attribute,属性を選択
New Attribute,新規属性
New Category,新たなカテゴリー
Categories,カテゴリー
[GLOBAL],[グローバル]
Customizable Options,カスタマイズ可能なオプション
Custom options let customers choose the product variations they want.,カスタムオプションは、顧客が望む製品バリエーションを選択してみましょう。
Import Options,インポートオプション
Add Option,オプションを追加
New Option,新しいオプション
Select Product,製品の選択
Import,インポート
Option Title,オプションタイトル
Add Value,付加価値を付けます
Option Type,オプションタイプ
-- Please select --, -  選んでください  - 
Required,必須
Price Type,価格タイプ
Max Characters,MAX文字
Compatible File Extensions,互換性のあるファイルの拡張子
Maximum Image Size,最大画像サイズ
Please leave blank if it is not an image.,それはイメージでない場合は空白のままにしてください。
px.,PX。
%1,％1
[WEBSITE],[ウェブサイト]
[STORE VIEW],[STORE VIEW]
This item has weight,こちらの商品は重量があります
This item has no weight,こちらの商品は何の重みを持っていません
Set Product as New From,からの新製品として設定
"Related Products, Up-Sells, and Cross-Sells",関連製品、アップセルズ、およびクロスセルズ
Related products are shown to customers in addition to the item the customer is looking at.,関連製品は、顧客が見ている項目に加えて、顧客に示しています。
Add Related Products,関連製品を追加
Related Products,関連製品
An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.,アップセルの項目は、顧客が見ている製品に高価なまたはより高品質の代替として顧客に提供されます。
Add Up-Sell Products,アップセルの製品を追加
Up-Sell Products,アップセル製品
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.",ショッピングカートにすでに項目にクロスは、販売しているように、これらの「衝動買い」の製品は、次のショッピングカートに表示されます。
Add Cross-Sell Products,クロスセル製品を追加
Cross-Sell Products,クロスセル製品
Add Selected Products,選択した製品を追加
Remove,削除する
Thumbnail,サムネイル
Product in Websites,ウェブサイトでの製品
"If your Magento site has multiple views, you can set the scope to apply to a specific view.",あなたのMagentoのサイトには、複数のビューを持っている場合は、特定のビューに適用する範囲を設定することができます。
Websites,ウェブサイト
name,名前
Copy Data from,からのデータのコピー
Browse to find or drag image here,見つけるか、ここでドラッグイメージを参照
Delete image,削除画像
Hidden,隠されました
Alt Text,代替テキスト
Image Size,画像サイズ
{size},{サイズ}
Image Resolution,画像解像度
{width}^{height} px,{幅} ^ {高} PX
Browse Files...,ブラウズファイル...
Choose Affected Attribute Set,影響を受ける属性セットを選択します。
Confirm,確認
start typing to search attribute,属性を検索するために入力を開始
Title:,題名：
Uploaded:,アップロード：
Uploader:,アップローダ：
Duration:,所要時間：
Basic Settings,基本設定
Advanced Settings,高度な設定
Changes have been made to this section that have not been saved.,変更が保存されていないこのセクションに行われました。
This tab contains invalid data. Please resolve this before saving.,このタブには、無効なデータが含まれています。保存する前にこの問題を解決してください。
Continue,継続する
Mass Actions,マスアクション
Select All,すべて選択
Unselect All,すべて選択解除
Select Visible,可視選択
Unselect Visible,可視選択を解除
Upload,アップロード
Upload Image Product,画像をアップロード製品
Product Upload,製品のアップロード
Import Settings,インポート設定
Check Data,データをチェック
Please Select,選んでください
Download Sample File,サンプルファイルをダウンロード
Import Behavior,インポート動作
Add/Update,追加/更新
Error Handling,エラー処理
Stop on Error,エラーで停止
Skip error entries,エラーエントリをスキップ
Allowed Errors Count,許容されるエラー数
Please specify number of errors to halt import process,停止インポート処理にエラーの数を指定してください
Field separator,フィールドセパレータ
Multiple value separator,複数の値の区切り
File to Import,インポートするファイル
Select File to Import,インポートするファイルを選択します
Images File Directory,イメージ・ファイル・ディレクトリ
*Notice Import image first,*注意事項インポート画像最初の
Additional Settings,追加の設定
records found,レコードが見つかりました
selected,選択
per page,1ページあたり
Previous page,前のページ
of %1,％1の
Next page,次のページ
Export to:,輸出：
Marketplace,市場
Marketplace Dashboard,Marketplaceのダッシュボード
Seller Profile,売り手のプロフィール
Manager Product,マネージャー製品
Create Attribute,属性を作成します。
New Products,新製品
My Products List,マイ製品リスト
My Transaction List,私の取引一覧
Manage Print PDF Header Info,印刷PDFヘッダー情報を管理します
My Order History,私の注文履歴
Become Seller,となっ売主
Personal Information,個人情報
Seller General,出品者の一般的な
Group,グループ
Url Key,URLキー
"Example: Insert landofcoder,url shop will ",例：挿入landofcoder、URL店の意志
Address Information,住所情報
Company,会社
Phone Number,電話番号
Street Address,住所
Street Address %1,住所1
City,市
State/Province,州/地方
"Please select a region, state or province.",地域、都道府県を選択してください。
Zip/Postal Code,郵便/郵便番号
* Required Fields,*必須項目
Sign-in Information,サインイン情報
Password,パスワード
Password Strength,パスワードの強度
No Password,パスワードなし
Confirm Password,パスワードを認証する
Privacy Policy,個人情報保護方針
I agree the Terms and Condition,私は、利用規約と条件に同意します
Terms and Conditions,規約と条件
Create an Account,アカウントを作成する
Back,バック
Sold By,により販売されています
Visit Shop,訪問ショップ
We can't find seller matching the selection.,私たちは、選択販売者のマッチングを見つけることができません。
Created At,で作成されました
Post Reply Message,ポスト返信メッセージ
Message ,メッセージ
Post Reply,返信
History Message,歴史のメッセージ
We can't find products matching the selection.,私たちは選択をマッチした製品を見つけることができません。
Add to Cart,カートに追加
In stock,在庫あり
Out of stock,在庫切れ
Learn More,もっと詳しく知る
Qty,数量
 Sales, セールス
 Sale, セール
Joined since ,以来参加
What’s on your mind?,何を考えているの？
Submit,参加する
Customer Name,顧客名
Customer Email,お客様のメール
"Turn in to a seller today and enjoy some incredible benefits like
				adding logo to your profile page for better branding, setting up
				multiple products to improve conversions, etc.","今日売り手に回すなど、いくつかの信じられないほどのメリットを享受
、より良いブランディングのためのあなたのプロフィールページにロゴを追加設定
変換を改善するための複数の製品、など"
Click the button to become a Seller,出品者になるためにボタンをクリックしてください
"Example: Insert landofcoder,url shop will",例：挿入landofcoder、URL店の意志
"I
						agree the  Terms and Conditions","私
利用規約に同意"
Admin Approval is required. Please wait until admin confirms your seller account.,管理者承認が必要です。管理者があなたのセラーアカウントを確認するまでお待ちください。
Returns Policies,戻り値のポリシー
Shipping Policies,配送ポリシー
Edit Profile Information,編集プロファイル情報
Save Profile,プロファイルを保存
Twitter ID,TwitterのID
Facebook ID,FacebookのID
Instagram ID,InstagramのID
Google Plus ID,グーグルプラスID
Youtube ID,ユーチューブID
Vimeo ID,VimeoのID
Pinterest ID,PinterestのID
Rating(s),評価（S）
Registered Sellers,登録販売者
"If you have an account, sign in with your email address.",アカウントをお持ちの場合は、メールアドレスでログインしてください。
Login,ログインする
Forgot Your Password?,パスワードをお忘れですか？
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.",アカウントを作成すると、多くの利点があります。注文を追跡し、より多くの、より高速チェックアウト複数のアドレスを保持します。
Customer ratings,カスタマー評価
star,星
Write Your Own Review,あなたのレビューを書きます
You're rating,あなたの評価しています
How do you rate this seller,あなたはこの販売者をどうのように評価しますか
Value,値
Quality,品質
What's your nickname?,あなたのニックネームは何ですか？
What's your Email?,あなたのメールは何ですか？
Summary of Your Rating,あなたの評価の概要
Let us know your thoughts,私たちはあなたの考えを教えてください
Submit Rating,評価を送信
By,沿って
 Rating(s), 評価（S）
We can't find sellers matching the selection.,私たちは選択をマッチング売り手を見つけることができません。
Items,アイテム
of,の
%1 Item,％1つの項目
%1 Items,％1つのアイテム
Previous,前
Next,次
This operation can take a long time,この操作には長い時間がかかる場合があります
Collapse All,すべて折りたたみます
Expand All,すべて展開
Please confirm site switching. All data that hasn't been saved will be lost.,サイトの切り替えをご確認ください。保存されていないすべてのデータが失われます。
None,無し
Use Default Value,デフォルト値を使用します
"Manage Titles (Size, Color, etc.)",タイトル（サイズ、色など）を管理します
Manage Options (Values of Your Attribute),オプションの管理（あなたの属性値）
Is Default,デフォルトは
Sort Option,並べ替えオプション
Double click on a group to rename it.,その名前を変更するグループをダブルクリックします。
Unassigned Attributes,未割り当ての属性
A name is required.,名前が必要です。
This group contains system attributes. Please move system attributes to another group and try again.,このグループには、システム属性が含まれています。別のグループにシステム属性を移動して、もう一度お試しください。
Please enter a new group name.,新しいグループ名を入力してください。
"An attribute group named ""/name/"" already exists"".",属性グループには、「/名前/」すでに「存在と命名します。
"Sorry, we're unable to complete this request.",申し訳ありませんが、我々はこの要求を完了できません。
You can't remove attributes from this attribute set.,あなたは、この属性セットから属性を削除することはできません。
Empty,空の
Custom Options,カスタムオプション
This is a required option.,これは、必要なオプションです。
The field isn't complete.,フィールドが完全ではありません。
Change,変化する
Compatible file extensions to upload,互換性のあるファイルの拡張子をアップロードします
Maximum image width,最大画像幅
Maximum image height,最大像高
Maximum number of characters:,最大文字数：
Quantity,量
start typing to search template,テンプレートを検索するために入力を開始
Product online,オンライン製品
Product offline,製品のオフライン
Product online status,製品のオンラインステータス
Advanced Inventory,高度なインベントリ
Manage Stock,証券取引を管理します
Use Config Settings,使用コンフィグ設定
Out-of-Stock Threshold,在庫アウトしきい値
Minimum Qty Allowed in Shopping Cart,最小数量は、ショッピングカートに可
Maximum Qty Allowed in Shopping Cart,最大数量は、ショッピングカートに可
Qty Uses Decimals,数量は小数を使用します
Backorders,バックオーダー
Notify for Quantity Below,以下は、数量通知
Enable Qty Increments,数量インクリメントを有効にします
Qty Increments,数量インクリメント
Stock Availability,在庫状況
In Stock,在庫あり
Out of Stock,在庫切れ
Add Product To Websites,ウェブサイトへの製品の追加
Remove Product From Websites,ウェブサイトから製品を削除
"To hide an item in catalog or search results, set the status to ""Disabled"".",カタログ内の項目を非表示にしたり、結果を検索するには、「無効」にステータスを設定します。
Step 2: Attribute Values,ステップ2：属性値
Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.,本製品に含まれる各属性から値を選択します。値のそれぞれのユニークな組み合わせはunigue製品SKUを作成します。
Sort Variations,ソートバリエーション
Options,オプション
