Are you sure? This order will be canceled and a new one will be created instead.,هل أنت واثق؟ سيتم إلغاء هذا النظام وسيتم إنشاء واحدة جديدة بدلا من ذلك.
Payment,دفع
Save,حفظ
Save & Draft,حفظ المسودة
Save & New,حفظ وجديد
Save & Duplicate,حفظ وتكرار
Save & Close,حفظ وإغلاق
Url,رابط
Preview Image,صورة المعاينة
Get Video Information,الحصول على معلومات عن الفيديو
Hide from Product Page,إخفاء من صفحة المنتج
Role,وظيفة
YouTube and Vimeo supported.,بدعم يوتيوب وفيميو.
"Vimeo supported.<br />To add YouTube video, please enter YouTube API Key first.",بدعم فيميو. <br /> لإضافة فيديو يوتيوب، يرجى إدخال يوتيوب API مفتاح أولا.
Weight,وزن
Create New Seller Account,إنشاء حساب بائع جديد
Review,مراجعة
Sell On Marketplace ,بيع على السوق
Vacation Settings,إعدادات عطلة
Pending,قيد الانتظار
Completed,منجز
Cancel,إلغاء
Withdrawals,السحب
Amounts,كميات
Manage Seller Amount,إدارة البائع المبلغ
Manage Amount Transaction,إدارة عملية المبلغ
The seller has been deleted.,تم حذف البائع.
We can't find a seller to delete.,لم نتمكن من العثور على البائع لحذف.
Seller,تاجر
This seller no longer exits. ,هذا البائع مخارج لم يعد.
Edit Seller,تحرير البائع
Sellers,الباعة
Commissions,اللجان
A total of %1 record(s) have been deleted.,تم حذف ما مجموعه٪ 1 سجل (ق).
A total of %1 record(s) have been disabled.,وكان ما مجموعه٪ 1 الإجابات المعوقين.
A total of %1 record(s) have been enabled.,تم تمكين ما مجموعه٪ 1 سجل (ق).
You saved this commission.,يمكنك حفظ هذه اللجنة.
Something went wrong while saving the commission.,حدث خطأ ما أثناء حفظ عمولة.
Seller Groups,المجموعات البائع
Groups,مجموعات
Manage Groups,إدارة المجموعات
Please correct the data sent.,يرجى تصحيح البيانات المرسلة.
URL key already exists.,مفتاح URL موجود بالفعل.
You saved this group.,يمكنك حفظ هذه المجموعة.
Something went wrong while saving the seller.,حدث خطأ ما أثناء حفظ البائع.
Invoices,الفواتير
Manage Invoices,إدارة الفواتير
The message has been deleted.,تم حذف الرسالة.
We can't find a message to delete.,لم نتمكن من العثور على رسالة لحذف.
Messages,رسائل
Manage Messages,إدارة الرسائل
You saved this message.,يمكنك حفظ هذه الرسالة.
Orders,الطلب #٪ s
Manage Orders,إدارة الطلبات
Manager Payment Method,أسلوب مدير الدفع
Manager Payment,مدير الدفع
You saved this payment.,يمكنك حفظ هذا الدفع.
Product has been set commission.,وكان المنتج جنة تعيين.
Ratings,تصنيفات
A total of %1 record(s) have been accept.,وكان ما مجموعه٪ 1 سجل (ق) قبول.
A total of %1 record(s) have been reject.,وكان ما مجموعه٪ 1 الإجابات رفض.
You saved this rating.,يمكنك حفظ هذا التصنيف.
Something went wrong while saving the rating.,حدث خطأ ما أثناء حفظ تصنيف.
Refunds,المستردة
Manage Refunds,إدارة المردودات
Refundrequests,Refundrequests
Manage Refundrequests,إدارة Refundrequests
Reviews,التعليقات
Manage Reviews,إدارة التعليقات
A total of %1 record(s) have been approved.,وقد تمت الموافقة على ما مجموعه٪ 1 سجل (ق).
A total of %1 record(s) have been disapproved.,تم رفض ما مجموعه٪ 1 سجل (ق).
The seller has been disapproved.,وقد رفض البائع.
We can't find a seller to disapproved.,لم نتمكن من العثور على البائع لالمرفوضة.
The seller has been approved.,تمت الموافقة على البائع.
We can't find a seller to approved.,لم نتمكن من العثور على البائع أن الموافقة.
Something went wrong while saving the page.,حدث خطأ ما أثناء حفظ الصفحة.
You saved this seller.,يمكنك حفظ هذا البائع.
SellerProducts,SellerProducts
Manage SellerProducts,إدارة SellerProducts
A total of %1 record(s) have been accepted.,وقد تم قبول ما مجموعه٪ 1 سجل (ق).
A total of %1 record(s) have been rejected.,تم رفض ما مجموعه٪ 1 سجل (ق).
Transactions,المعاملات
Manage Transactions,إدارة المعاملات
Withdrawal,انسحاب
Manage Withdrawals,إدارة السحوبات
This withdrawal no longer exits. ,هذا الانسحاب مخارج لم يعد.
Edit Withdrawal,تحرير الانسحاب
	Withdraw Money : Amount ,سحب المال: المبلغ
You must have a seller account to access,يجب أن يكون لديك حساب البائع إلى الوصول
You must have a account to access,يجب أن يكون لديك حساب في الوصول
"Attribute ""%1"" is required.","السمة ""٪ 1"" مطلوب."
You saved the category.,يمكنك حفظ هذه الفئة.
Something went wrong while saving the category.,حدث خطأ ما أثناء حفظ الفئة.
This order no longer exists.,هذا النظام لم يعد موجودا.
You are not authorize to manage this order.,انك لم يأذن لإدارة هذا النظام.
The invoice no longer exists.,الفاتورة لم يعد موجودا.
You are not authorize to view this invoice.,انك لم تأذن لمشاهدة هذه الفاتورة.
The creditmemo no longer exists.,في مذكرة الائتمان لم يعد موجودا.
You are not authorize to view this creditmemo.,انك لم تأذن لمشاهدة هذه مذكرة الائتمان.
The order has been cancelled.,تم إلغاء هذا الأمر.
You are not permitted to cancel this order.,لا يسمح لك لإلغاء هذا النظام.
We can't cancel order right now.,ونحن لا يمكن إلغاء الطلب في الوقت الحالي.
The credit memo's total must be positive.,يجب أن يكون مجموع المذكرة الائتمان الإيجابي.
Cannot create online refund for Refund to Store Credit.,لا يمكن إنشاء رد على الانترنت للاسترداد في مخزن الائتمان.
You created the credit memo.,قمت بإنشاء مذكرة الائتمان.
We can't create credit memo for order right now.,ونحن لا يمكن إنشاء مذكرة الائتمان لاجل الآن.
You sent the order email.,يمكنك إرسال البريد الإلكتروني النظام.
We can't send the email order right now.,لا يمكننا أن نرسل ترتيب البريد الإلكتروني في الوقت الحالي.
Can not create invoice as order is in HOLD state,لا يمكن إنشاء فاتورة والنظام في الدولة HOLD
We can't save the invoice right now.,ونحن لا يمكن حفظ الفاتورة في الوقت الحالي.
You can't create an invoice without products.,لا يمكنك إنشاء فاتورة دون المنتجات.
Invoice has been created for this order.,تم إنشاء فاتورة لهذا النظام.
Cannot create Invoice for this order.,لا يمكن إنشاء الفاتورة لهذا النظام.
We can't create invoice for order right now.,ونحن لا يمكن إنشاء فاتورة النظام في الوقت الحالي.
Can not create shipment as order is in HOLD state,لا يمكن إنشاء شحنة والنظام في الدولة HOLD
Cannot do shipment for the order separately from invoice.,لا تستطيع أن تفعل الشحن للنظام على حدة من الفاتورة.
Cannot do shipment for the order.,لا تستطيع أن تفعل الشحن للنظام.
The shipment has been created.,تم إنشاء الشحن.
The shipping label has been created.,تم إنشاء بطاقة شحن.
We can't ship order right now.,لا يمكننا أن السفينة النظام في الوقت الحالي.
That product is not yours,هذا المنتج هو ليس لك
This product no longer exists.,هذا المنتج لم يعد موجودا.
Catalog,فهرس
Default Values,قيم افتراضية
Could not get preview image information. Please check your connection and try again.,تعذر الحصول على معلومات معاينة الصورة. يرجى التحقق من اتصالك وحاول مرة أخرى.
Please correct the data sent value.,يرجى تصحيح قيمة البيانات المرسلة.
Show more,أظهر المزيد
Additional data,بيانات إضافية
Following Error(s) has been occurred during importing process:,وعقب خطأ (ق) وقد وقعت أثناء عملية الاستيراد:
Only the first 100 errors are shown. ,فقط تظهر الأخطاء 100 الأولى.
in row(s):,في الصفوف):
Please make sure to define SKU values for all processed products.,يرجى التأكد من تحديد القيم SKU لجميع المنتجات المصنعة.
A total of %1 record(s) have been updated.,تم تحديث ما مجموعه٪ 1 سجل (ق).
Something went wrong while updating the product(s) status.,حدث خطأ ما أثناء تحديث المنتج (ق) حالة.
"Your product limit is %1, please upgrade the membership package",حد المنتج الخاص بك هو٪ 1، الرجاء الترقية حزمة العضوية
There is no data for the export.,لا توجد بيانات للتصدير.
Maximum error count has been reached or system error is occurred!,وقد تم التوصل إلى عدد الأخطاء الأقصى أو حدث خطأ في النظام!
Import successfully done,استيراد فعلت بنجاح
Unable to save product,غير قادر على حفظ المنتج
You saved the product.,يمكنك حفظ المنتج.
SKU for product %1 has been changed to %2.,تم تغيير SKU للمنتج٪ 1 إلى٪ 2.
You duplicated the product.,يمكنك تكرار هذا المنتج.
The image cannot be removed as it has been assigned to the other image role,لا يمكن إزالة الصورة كما تم تعيينه إلى دور صورة أخرى
"Sorry, but the data is invalid or the file is not uploaded.",آسف، ولكن البيانات غير صالحة أو لا يتم تحميل الملف.
The file was not uploaded.,لم يتم تحميل الملف.
This file is empty. Please try another one.,هذا الملف فارغ. الرجاء محاولة واحدة أخرى.
Data validation failed. Please fix the following errors and upload the file again.,فشل التحقق من صحة البيانات. يرجى تصحيح الأخطاء التالية وتحميل الملف مرة أخرى.
"File is valid! To start import process press ""Import"" button","ملف صالحا! لبدء استيراد عملية اضغط على زر ""استيراد"""
"The file is valid, but we can't import it for some reason.",الملف غير صحيح، لكننا لا يمكن استيراده لسبب ما.
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4",الصفوف المحددة:٪ 1، والكيانات المحددة:٪ 2، الصفوف غير صالحة:٪ 3، ومجموع الأخطاء: 4٪
Please specify a carrier.,يرجى تحديد الناقل.
Please enter a tracking number.,الرجاء إدخال رقم تتبع.
Cannot add tracking number.%1,لا يمكن إضافة عدد تتبع.٪ 1
We can't load track with retrieving identifier right now.%1,ونحن لا يمكن تحميل المسار مع استرجاع المعرف في الوقت الحالي.٪ 1
We can't initialize shipment for adding tracking number.,ونحن لا يمكن تهيئة شحنة لإضافة عدد تتبع.
We can't delete tracking number.,لا يمكننا حذف عدد تتبع.
Something went wrong while saving the vacation.,حدث خطأ ما أثناء حفظ عطلة.
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","يجب عليك تأكيد حسابك. يرجى التحقق من بريدك الالكتروني لتأكيد الصلة أو <a href=""٪1""> انقر هنا </a> لارتباط جديد."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","وهناك بالفعل حساب مع عنوان البريد الإلكتروني هذا. إذا كنت على يقين من أنه هو عنوان البريد الإلكتروني الخاص بك، <a href=""٪1""> انقر هنا </a> للحصول على كلمة السر الخاصة بك والوصول إلى حسابك."
We can't save the customer.,ونحن لا يمكن أن ينقذ العملاء.
Please make sure your passwords match.,يرجى التأكد من تطابق كلمات السر الخاصة بك.
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","إذا كنت عميل VAT المسجل، يرجى <a href=""٪1""> انقر هنا </a> لإدخال عنوان الشحن الخاص بك لحساب الضريبة على القيمة المضافة السليم."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","إذا كنت عميل VAT المسجل، يرجى <a href=""٪1""> انقر هنا </a> لإدخال عنوان الفوترة لحساب الضريبة على القيمة المضافة السليم."
Thank you for registering with %1.,شكرا لتسجيلك مع٪ 1.
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","لم يتم تأكيد هذا الحساب. <a href=""٪1""> اضغط هنا </a> لتأكيد بالبريد الإلكتروني أرسل ثانية."
Invalid login or password.,معلومات الدخول خاطئة او كلمة المرور خاطئة.
A login and a password are required.,وثمة حاجة إلى تسجيل الدخول وكلمة مرور.
Close,قريب
Open,افتح
Processing,معالجة
Done,منجز
Approved,وافق
Not Approved,غير مقبول
Reject,رفض
Accept,قبول
Enabled,تمكين
Disabled,معاق
- Disable these emails -,- تعطيل هذه الرسائل -
List,قائمة
Grid,جريد
Product was not registered,لم يتم تسجيل المنتج
Store was not registered,لم يتم تسجيل مخزن
URL key already exists.' .,مفتاح URL موجود بالفعل. .
URL key for specified store already exists.,URL مفتاح مخزن المحدد مسبقا.
Product Attribute,سمة المنتج
Subtotal,حاصل الجمع
Total Items Quantity,مجموع الوحدات الكمية
Total Weight,الوزن الكلي
Payment Method,طريقة الدفع او السداد
Shipping Method,طريقة الشحن
Shipping Postcode,الشحن الرمز البريدي
Shipping Region,النقل البحري منطقة
Shipping State/Province,الدولة / مقاطعة البريدية
Shipping Country,بلد الشحن
Product attribute combination,مزيج سمة المنتج
Products subselection,منتجات subselection
Conditions combination,مزيج الظروف
Cart Attribute,سلة سمة
Disapproved,المرفوضة
Could not save the seller info: %1,لا يمكن حفظ معلومات البائع:٪ 1
Not Submited,لا Submited
Unapproved,غير موافق عليها
"We can't process your request right now. Sorry, that's all we know.",لا يمكننا معالجة طلبك في الوقت الحالي. عذرا، هذا كل ما نعرفه.
Owl Carousel,البومة كاروسيل
Bootstrap Carousel,التمهيد كاروسيل
Amount from order,كمية من أجل
invoice,فاتورة
Refunded,ردها
Refund from order,رد من أجل
Edit,تعديل
View Customer,عرض العملاء
View,رأي
Delete,حذف
"Delete ""${ $.$data.subject }""","حذف ""$ {$. $ data.subject}"""
"Are you sure you wan't to delete a ""${ $.$data.subject }"" record?","هل أنت متأكد أنك wan't لحذف ""$ {$. $ data.subject}"" السجل؟"
Unread,غير مقروء
Read,اقرأ
What is the reason to deny this product?,ما هو السبب لرفض هذا المنتج؟
Deny,أنكر
Reset,إعادة تعيين
Do you want set commission for product?,هل تريد وضع لجنة للمنتج؟
View Product,عرض المنتج
View Seller,عرض بائع
All Store Views,كل مخزن المشاهدات
Delete ${ $.$data.name },$ حذف {$. $ data.name}
Are you sure you want to delete a ${ $.$data.name } record?,هل أنت متأكد أنك تريد حذف {$. $ data.name} سجل $؟
Approved ${ $.$data.name },وافق $ {$. $ data.name}
Are you sure you want to enable a ${ $.$data.name } record?,هل أنت متأكد أنك تريد تمكين {$. $ data.name} سجل $؟
Disapproved ${ $.$data.name },المرفوضة $ {$. $ data.name}
Are you sure you want to disable a ${ $.$data.name } record?,هل أنت متأكد أنك تريد تعطيل {$. $ data.name} سجل $؟
Complete Withdrawal,كامل الانسحاب
Canceled,ألغيت
Add Attribute,اضف ميزة
Add Selected,اضف اختيارك
Select Attribute,حدد السمة
New Attribute,سمة جديدة
New Category,فئة جديدة
Categories,التصنيفات
[GLOBAL],[GLOBAL]
Customizable Options,خيارات للتخصيص
Custom options let customers choose the product variations they want.,تتيح خيارات مخصصة للعملاء اختيار الاختلافات المنتجات التي يريدونها.
Import Options,خيارات استيراد
Add Option,إضافة خيار
New Option,الخيار الجديد
Select Product,حدد المنتج
Import,استيراد
Option Title,الخيار عنوان
Add Value,إضافة قيمة
Option Type,الخيار نوع
-- Please select --,- الرجاء الاختيار -
Required,مطلوب
Price Type,السعر نوع
Max Characters,الأحرف كحد أقصى
Compatible File Extensions,ملحقات الملفات المتوافقة
Maximum Image Size,أقصى حجم الصورة
Please leave blank if it is not an image.,يرجى ترك فارغا إذا لم يكن صورة.
px.,بكسل.
%1,٪ 1
[WEBSITE],[موقع الكتروني]
[STORE VIEW],[عرض متجر]
This item has weight,هذا البند لديها الوزن
This item has no weight,هذا العنصر ليس لديه الوزن
Set Product as New From,مجموعة المنتج على النحو الجديد من
"Related Products, Up-Sells, and Cross-Sells",المنتجات ذات الصلة، يصل يبيع، وعبر يبيع
Related products are shown to customers in addition to the item the customer is looking at.,وتظهر المنتجات ذات الصلة للعملاء بالإضافة إلى العنصر يتطلع العملاء في.
Add Related Products,إضافة منتجات ذات صلة
Related Products,منتجات ذات صله
An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.,يتم تقديم عنصر ما يصل بيع للعميل كبديل سعرا أو أعلى جودة للمنتج يتطلع العملاء في.
Add Up-Sell Products,إضافة يصل بيع المنتجات
Up-Sell Products,المنتجات ما يصل بيع
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","هذه المنتجات ""دفعة-شراء"" تظهر بجانب عربة التسوق كما عبر تبيع لبنود بالفعل في عربة التسوق."
Add Cross-Sell Products,إضافة عبر بيع المنتجات
Cross-Sell Products,عبر بيع المنتجات
Add Selected Products,إضافة منتجات مختارة
Remove,إزالة
Thumbnail,ظفري
Product in Websites,المنتج في مواقع
"If your Magento site has multiple views, you can set the scope to apply to a specific view.",إذا كان موقع الماجنتو لديه وجهات نظر متعددة، يمكنك تعيين نطاق تطبيق إلى وجهة نظر محددة.
Websites,المواقع
name,اسم
Copy Data from,نسخ البيانات من
Browse to find or drag image here,استعرض للوصول إلى العثور على أو صورة السحب هنا
Delete image,حذف صورة
Hidden,مخفي
Alt Text,نص بديل
Image Size,حجم الصورة
{size},{بحجم}
Image Resolution,دقة الصورة
{width}^{height} px,{عرض} ^ {} ارتفاع بكسل
Browse Files...,تصفح ملفات...
Choose Affected Attribute Set,اختيار تعيين سمة المتضررين
Confirm,تؤكد
start typing to search attribute,ابدأ الكتابة للبحث سمة
Title:,عنوان:
Uploaded:,تم تحميلها:
Uploader:,رافع:
Duration:,المدة الزمنية:
Basic Settings,الإعدادات الأساسية
Advanced Settings,إعدادات متقدمة
Changes have been made to this section that have not been saved.,تم إجراء تغييرات في هذا المقطع الذي لم يتم حفظها.
This tab contains invalid data. Please resolve this before saving.,هذا التبويب يحتوي على بيانات غير صالحة. الرجاء حل هذا قبل الحفظ.
Continue,استمر
Mass Actions,تطبيقات كتلة
Select All,اختر الكل
Unselect All,إلغاء تحديد الكل
Select Visible,اختر مرئي
Unselect Visible,إلغاء تحديد مرئي
Upload,رفع
Upload Image Product,تحميل صورة المنتج
Product Upload,تحميل المنتج
Import Settings,اعدادات مهمه
Check Data,تحقق البيانات
Please Select,الرجاء الإختيار
Download Sample File,تحميل الملف عينة
Import Behavior,سلوك الاستيراد
Add/Update,إضافة / تحديث
Error Handling,معالجة الأخطاء
Stop on Error,توقف عن خطأ
Skip error entries,تخطي إدخالات خطأ
Allowed Errors Count,عد أخطاء سمحت
Please specify number of errors to halt import process,يرجى تحديد عدد من الأخطاء في عملية الاستيراد توقف
Field separator,فاصل حقل
Multiple value separator,فاصل قيمة متعددة
File to Import,ملف لاستيراد
Select File to Import,حدد ملف لاستيراد
Images File Directory,دليل الصور الملف
*Notice Import image first,* ملاحظة استيراد صورة لأول مرة
Additional Settings,إعدادات إضافية
records found,سجلات وجدت
selected,المحدد
per page,في كل صفحة
Previous page,الصفحة السابقة
of %1,من 1٪
Next page,الصفحة التالية
Export to:,تصدير الى:
Marketplace,المتجر
Marketplace Dashboard,السوق وحة
Seller Profile,الملف الشخصي البائع
Manager Product,مدير المنتج
Create Attribute,تكوين سمة
New Products,منتجات جديدة
My Products List,بلدي قائمة المنتجات
My Transaction List,قائمة عملية بلدي
Manage Print PDF Header Info,إدارة طباعة PDF معلومات رأس
My Order History,طلبي التاريخ
Become Seller,تصبح البائع
Personal Information,معلومات شخصية
Seller General,البائع عامة
Group,مجموعة
Url Key,رابط مفتاح
"Example: Insert landofcoder,url shop will ",مثال: إدراج landofcoder، متجر رابط الإرادة
Address Information,معلومات العنوان
Company,شركة
Phone Number,رقم الهاتف
Street Address,عنوان الشارع
Street Address %1,عنوان الشارع 1
City,مدينة
State/Province,/ مقاطعة الدولة
"Please select a region, state or province.",يرجى تحديد منطقة أو ولاية أو محافظة.
Zip/Postal Code,الرمز البريدي / الرمز البريدي
* Required Fields,* الحقول المطلوبة
Sign-in Information,تسجيل الدخول معلومات
Password,كلمه السر
Password Strength,قوة كلمة المرور
No Password,لا توجد كلمة مرور
Confirm Password,تأكيد كلمة المرور
Privacy Policy,سياسة الخصوصية
I agree the Terms and Condition,أوافق على شروط والحالة
Terms and Conditions,الأحكام والشروط
Create an Account,انشئ حساب
Back,عودة
Sold By,تم بيعها من قبل
Visit Shop,زيارة متجر
We can't find seller matching the selection.,لم نتمكن من العثور مطابقة البائع التحديد.
Created At,أنشئت في
Post Reply Message,آخر رسالة الرد
Message ,رسالة
Post Reply,الرد آخر
History Message,التاريخ رسالة
We can't find products matching the selection.,لا يمكننا العثور على منتجات مطابقة مع الاختيارات.
Add to Cart,أضف إلى السلة
In stock,في المخزن
Out of stock,إنتهى من المخزن
Learn More,أعرف أكثر
Qty,الكمية
 Sales, مبيعات
 Sale, تخفيض السعر
Joined since ,انضم منذ
What’s on your mind?,في ماذا تفكر؟
Submit,إرسال
Customer Name,اسم الزبون
Customer Email,العملاء البريد الإلكتروني
"Turn in to a seller today and enjoy some incredible benefits like
				adding logo to your profile page for better branding, setting up
				multiple products to improve conversions, etc.","بدوره الى بائع اليوم والتمتع ببعض المزايا لا يصدق مثل
إضافة شعار لصفحة ملفك الشخصي عن العلامات التجارية أفضل، وإقامة
منتجات متعددة لتحسين التحويلات، الخ"
