Become A Seller,Wird ein Verkäufer
Export Product,Export Produkt
"Images (.gif, .jpg, .png)","Bilder (GIF, JPG, PNG)"
Import Product,Import Artikel
Add Product,Produkt hinzufügen
label,Etikette
Advanced Report,advanced Report
Amount Transaction,Menge Transaktion
Invoice,Rechnung
 [deleted], [Gestrichen]
View Invoice,Ansicht Rechnung
Order,Auftrag
View Order,Bestellung anzeigen
Custom Value,Benutzerdefinierten Wert
View Shipment,Ansicht Shipment
Become a Seller,Werden Sie ein Verkäufer
Dashboard,Instrumententafel
Edit Profile,Profil bearbeiten
Seller Login,Verkäufer Anmeldung
Error!,Error!
Info,Die Info
Success,Erfolg
Alert,Warnen
Order # %1 %2 | %3,Order #% 1% 2 | %3
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Dieser Auftrag beinhaltet (% 1) Elemente und kann daher nicht über das Admin-Interface bearbeitet werden. Wenn Sie mit der Bearbeitung fortfahren möchten, werden die (% 2) Elemente entfernt, wird die Bestellung storniert und eine neue Bestellung aufgegeben wird."
Are you sure? This order will be canceled and a new one will be created instead.,Bist du sicher? Die Bestellung wird abgebrochen und ein neues wird stattdessen erstellt werden.
Payment,Zahlung
Save,speichern
Save & Draft,Save & Entwurf
Save & New,Speichern & Neu
Save & Duplicate,Save & Duplizieren
Save & Close,Speichern & Schließen
Url,URL
Preview Image,Vorschaubild
Get Video Information,Get Video Informationen
Hide from Product Page,Verbergen von Produktseite
Role,Rolle
YouTube and Vimeo supported.,YouTube und Vimeo unterstützt.
"Vimeo supported.<br />To add YouTube video, please enter YouTube API Key first.","Vimeo unterstützt. <br /> YouTube-Video hinzuzufügen, bitte zuerst YouTube API-Schlüssel eingeben."
Weight,Gewicht
Create New Seller Account,Erstellen neuer Verkäuferkonto
Review,Rezension
Sell On Marketplace ,Verkaufen auf Marktplatz
Vacation Settings,Urlaub Einstellungen
Pending,steht aus
Completed,Abgeschlossen
Cancel,Stornieren
Withdrawals,Abhebungen
Amounts,Beträge
Manage Seller Amount,Verwalten Verkäufer Betrag
Manage Amount Transaction,Verwalten Betrag Transaktionen
The seller has been deleted.,Der Verkäufer wird gelöscht.
We can't find a seller to delete.,Wir können nicht ein Verkäufer löschen finden.
Seller,Verkäufer
This seller no longer exits. ,Dieser Verkäufer nicht mehr verlässt.
Edit Seller,Bearbeiten Verkäufer
Sellers,Sellers
Commissions,Kommissionen
A total of %1 record(s) have been deleted.,Insgesamt% 1 Datensatz (n) gelöscht wurden.
A total of %1 record(s) have been disabled.,Insgesamt% 1 Datensatz (n) deaktiviert wurde.
A total of %1 record(s) have been enabled.,Insgesamt% 1 Datensatz (n) aktiviert wurden.
You saved this commission.,Sie speicherten diesen Auftrag.
Something went wrong while saving the commission.,"Etwas ist schief gelaufen, während die Provision sparen."
Seller Groups,Verkäufer Gruppen
Groups,Gruppen
Manage Groups,Gruppen verwalten
Please correct the data sent.,Bitte korrigieren Sie die gesendeten Daten.
URL key already exists.,URL Schlüssel bereits vorhanden ist.
You saved this group.,Sie sparte diese Gruppe.
Something went wrong while saving the seller.,"Etwas ist schief gelaufen, während der Verkäufer zu sparen."
Invoices,Rechnungen
Manage Invoices,verwalten von Rechnungen
The message has been deleted.,Die Nachricht wird gelöscht.
We can't find a message to delete.,Wir können nicht eine Nachricht löschen finden.
Messages,Mitteilungen
Manage Messages,verwalten Sie Nachrichten
You saved this message.,Sie speicherten diese Meldung.
Orders,Aufträge
Manage Orders,Bestellungen verwalten
Manager Payment Method,Manager Zahlungsmethode
Manager Payment,Manager Payment
You saved this payment.,Sie speicherten diese Zahlung.
Product has been set commission.,Das Produkt wurde Set Kommission.
Ratings,Bewertungen
A total of %1 record(s) have been accept.,Insgesamt% 1 Datensatz (S) akzeptieren haben.
A total of %1 record(s) have been reject.,"Insgesamt% 1 Platte (n) haben, verwerfen sind."
You saved this rating.,Sie speicherten diese Bewertung.
Something went wrong while saving the rating.,"Etwas ist schief gelaufen, während die Bewertung zu speichern."
Refunds,Rückerstattungen
Manage Refunds,verwalten Rückerstattungen
Refundrequests,Refundrequests
Manage Refundrequests,verwalten Refundrequests
Reviews,Bewertungen
Manage Reviews,Manage Bewertungen
A total of %1 record(s) have been approved.,Insgesamt% 1 Eintragung (en) genehmigt worden.
A total of %1 record(s) have been disapproved.,Insgesamt% 1 Platte (n) haben abgelehnt.
The seller has been disapproved.,Der Verkäufer wurde abgelehnt.
We can't find a seller to disapproved.,Wir können nicht einen Verkäufer zu abgelehnten finden.
The seller has been approved.,Der Verkäufer wird genehmigt.
We can't find a seller to approved.,Wir können nicht ein Verkäufer genehmigt finden.
Something went wrong while saving the page.,"Etwas ist schief gelaufen, während die Seite zu speichern."
You saved this seller.,Sie speicherte diesen Verkäufer.
SellerProducts,SellerProducts
Manage SellerProducts,verwalten SellerProducts
A total of %1 record(s) have been accepted.,Insgesamt% 1 Datensatz (n) angenommen.
A total of %1 record(s) have been rejected.,Insgesamt% 1 Datensatz (n) zurückgewiesen worden sind.
Transactions,Transaktionen
Manage Transactions,Transaktionen verwalten
Withdrawal,Rückzug
Manage Withdrawals,verwalten Entnahmen
This withdrawal no longer exits. ,Dieser Rückzug nicht mehr verlässt.
Edit Withdrawal,Bearbeiten Rückzug
	Withdraw Money : Amount ,Geld abheben: Betrag
You must have a seller account to access,Sie müssen ein Verkäuferkonto Zugang haben
You must have a account to access,Sie müssen ein Konto für den Zugriff haben
"Attribute ""%1"" is required.",Attribut „% 1“ ist nicht erforderlich.
You saved the category.,Sie speicherten die Kategorie.
Something went wrong while saving the category.,"Etwas ist schief gelaufen, während die Kategorie zu speichern."
This order no longer exists.,Die Bestellung ist nicht mehr vorhanden.
You are not authorize to manage this order.,"Sie genehmigen nicht, diesen Auftrag zu verwalten."
The invoice no longer exists.,Die Rechnung ist nicht mehr vorhanden.
You are not authorize to view this invoice.,Sie autorisieren nicht diese Rechnung anzuzeigen.
The creditmemo no longer exists.,Die creditmemo nicht mehr existiert.
You are not authorize to view this creditmemo.,Sie autorisieren nicht diese creditmemo anzuzeigen.
The order has been cancelled.,Der Auftrag wird abgebrochen.
You are not permitted to cancel this order.,Sie sind nicht abbrechen diesen Auftrag nicht gestattet.
We can't cancel order right now.,Wir können nicht um jetzt abzubrechen.
The credit memo's total must be positive.,Die Gesamt der Gutschrift muss positiv sein.
Cannot create online refund for Refund to Store Credit.,Kann nicht online Erstattung für Rückerstattung zu Gutschrift erstellen.
You created the credit memo.,Sie erstellt die Gutschrift.
We can't create credit memo for order right now.,Wir können keine Gutschrift für den Auftrag jetzt erstellen.
You sent the order email.,Sie schickte die Bestellung E-Mail.
We can't send the email order right now.,Wir können nicht die E-Mail-Bestellung jetzt direkt senden.
Can not create invoice as order is in HOLD state,"Kann nicht Rechnung erstellen, wie Ordnung in HOLD-Zustand ist"
We can't save the invoice right now.,Wir können jetzt nicht die Rechnung speichern.
You can't create an invoice without products.,Sie können nicht eine Rechnung ohne Produkte schaffen.
Invoice has been created for this order.,Rechnung wurde für diesen Auftrag erstellt.
Cannot create Invoice for this order.,Kann nicht Rechnung für diesen Auftrag erstellen.
We can't create invoice for order right now.,Wir können jetzt nicht Rechnung für Bestellung erstellen.
Can not create shipment as order is in HOLD state,Kann nicht schaffen Sendung als Auftrag im HOLD-Zustand ist
Cannot do shipment for the order separately from invoice.,Kann nicht Versand tut separat für den Auftrag aus der Rechnung.
Cannot do shipment for the order.,Kann nicht für den Auftrag tun Sendung.
The shipment has been created.,Die Sendung wird erstellt.
The shipping label has been created.,Das Versandetikett erstellt wurde.
We can't ship order right now.,Wir können nicht um gerade jetzt versenden.
That product is not yours,Das Produkt ist nicht verkaufen
This product no longer exists.,Dieses Produkt ist nicht mehr vorhanden ist.
Catalog,Katalog
Default Values,Standardwerte
Could not get preview image information. Please check your connection and try again.,Kann nicht Vorschaubild Informationen erhalten. Bitte überprüfen sie ihre Verbindung und versuchen sie es erneut.
Please correct the data sent value.,Bitte korrigieren Sie die Daten abgeschickt Wert.
Show more,Zeig mehr
Additional data,Zusätzliche Daten
Following Error(s) has been occurred during importing process:,Nach Error (s) wurde beim Import aufgetreten:
Only the first 100 errors are shown. ,Nur die ersten 100 Fehler gezeigt.
in row(s):,in Reihen):
Please make sure to define SKU values for all processed products.,"Bitte stellen Sie sicher, SKU-Werte für alle verarbeiteten Produkte zu definieren."
A total of %1 record(s) have been updated.,Insgesamt% 1 Eintragung (en) wurden aktualisiert.
Something went wrong while updating the product(s) status.,"Ging etwas schief, während das Produkt (e) Status zu aktualisieren."
"Your product limit is %1, please upgrade the membership package","Ihr Produkt Limit ist% 1, aktualisieren Sie bitte die Mitgliedschaft Paket"
There is no data for the export.,Es gibt keine Daten für den Export.
Maximum error count has been reached or system error is occurred!,Die maximale Fehlerzahl erreicht worden ist oder Systemfehler ist aufgetreten!
Import successfully done,Import erfolgreich durchgeführt
Unable to save product,"Nicht imstande, ein Produkt zu sparen"
You saved the product.,Sie retteten das Produkt.
SKU for product %1 has been changed to %2.,SKU für das Produkt% 1 wurde in% 2 geändert.
You duplicated the product.,Sie dupliziert das Produkt.
The image cannot be removed as it has been assigned to the other image role,"Das Bild kann nicht entfernt werden, da es auf die anderen Bild Rolle zugewiesen wurde"
"Sorry, but the data is invalid or the file is not uploaded.","Sorry, aber die Daten sind ungültig oder die Datei hochgeladen wird nicht."
The file was not uploaded.,Die Datei wurde nicht hochgeladen.
This file is empty. Please try another one.,Diese Datei ist leer. Bitte versuchen Sie einen anderen.
Data validation failed. Please fix the following errors and upload the file again.,Datenvalidierung fehlgeschlagen. Bitte korrigieren Sie die folgenden Fehler und die Datei erneut hochladen.
"File is valid! To start import process press ""Import"" button",Die Datei ist gültig! Zum Import drücken Schaltfläche „Import“ starten
"The file is valid, but we can't import it for some reason.","Die Datei ist gültig, aber wir können es aus irgendeinem Grund nicht importieren."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Geprüft Zeilen:% 1, geprüft Einheiten: 2%, ungültige Zeilen:% 3, Gesamtfehler: 4%"
Please specify a carrier.,Bitte geben Sie einen Träger.
Please enter a tracking number.,Bitte geben Sie eine Tracking-Nummer.
Cannot add tracking number.%1,"Kann hinzufügen, nicht Tracking-Nummer.% 1"
We can't load track with retrieving identifier right now.%1,Wir können nicht den Überblick laden mit der Kennung jetzt abgerufen werden.% 1
We can't initialize shipment for adding tracking number.,Wir können nicht Versand initialisieren zum Hinzufügen von Tracking-Nummer.
We can't delete tracking number.,Wir können nicht gelöscht werden Tracking-Nummer.
Something went wrong while saving the vacation.,"Etwas ist schief gelaufen, während der Urlaub zu sparen."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Sie müssen Ihr Konto bestätigen. Bitte überprüfen Sie Ihre E-Mail für den Bestätigungslink oder <a href=""%1""> für einen neuen Link klicken Sie hier </a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Es ist bereits ein Konto mit dieser E-Mail-Adresse. Wenn Sie sicher sind, dass es Ihre E-Mail-Adresse, <a href=""%1""> hier klicken </a> Ihr Passwort und Zugang zu Ihrem Konto zu erhalten."
We can't save the customer.,Wir können die Kunden nicht speichern.
Please make sure your passwords match.,"Bitte stellen Sie sicher, dass Ihre Kennwörter übereinstimmen."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Wenn Sie ein registrierter MwSt-Kunde sind, bitte <a href=""%1""> hier klicken </a> Ihre Lieferadresse für die richtige Wertsteuerberechnung eingeben."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Wenn Sie ein registrierter MwSt-Kunde sind, bitte <a href=""%1""> hier klicken </a> Ihre Rechnungsadresse für die richtige Wertsteuerberechnung eingeben."
Thank you for registering with %1.,Vielen Dank für Ihre Registrierung bei% 1.
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Dieses Konto wird nicht bestätigt. <a href=""%1""> Klicken Sie hier </a> resend Bestätigungsemail."
Invalid login or password.,Ungültiger Anmeldename oder Passwort.
A login and a password are required.,Ein Login und ein Passwort erforderlich.
Close,Schließen
Open,Öffnen
Processing,wird bearbeitet
Done,Erledigt
Approved,Genehmigt
Not Approved,Nicht bestätigt
Reject,Ablehnen
Accept,Akzeptieren
Enabled,aktiviert
Disabled,Behindert
- Disable these emails -,- Deaktivieren Sie diese E-Mails -
List,Liste
Grid,Gitter
Product was not registered,Das Produkt wurde nicht registriert
Store was not registered,Shop wurde nicht registriert
URL key already exists.' .,URL Schlüssel ist bereits vorhanden.‘ .
URL key for specified store already exists.,URL Schlüssel für bestimmten Speicher sind bereits vorhanden.
Product Attribute,Produkteigenschaft
Subtotal,Zwischensumme
Total Items Quantity,Artikel insgesamt Menge
Total Weight,Gesamtgewicht
Payment Method,Bezahlverfahren
Shipping Method,Versandart
Shipping Postcode,Versand Postleitzahl
Shipping Region,Versand Region
Shipping State/Province,Versand Staat / Provinz
Shipping Country,Lieferungsland
Product attribute combination,Produktattributkombination
Products subselection,Produkte subselection
Conditions combination,Bedingungen Kombination
Cart Attribute,Wagen Attribut
Disapproved,Abgelehnte
Could not save the seller info: %1,Kann den Verkäufer info speichern:% 1
Not Submited,nicht Submited
Unapproved,Unapproved
"We can't process your request right now. Sorry, that's all we know.","Wir können Ihre Anfrage jetzt nicht verarbeiten. Sorry, das ist alles, was wir wissen."
Owl Carousel,Owl Karussell
Bootstrap Carousel,Bootstrap-Karussell
Amount from order,Betrag von der Bestellung
invoice,Rechnung
Refunded,Refunded
Refund from order,Erstattung von der Bestellung
Edit,Bearbeiten
View Customer,Bild Kunden
View,Aussicht
Delete,Löschen
"Delete ""${ $.$data.subject }""","Delete ""$ {$. $ Data.subject}"""
"Are you sure you wan't to delete a ""${ $.$data.subject }"" record?","Sind Sie sicher, dass Sie wan't eine löschen ""$ {$. $ Data.subject}"" record?"
Unread,Ungelesen
Read,Lesen
What is the reason to deny this product?,"Was ist der Grund, um dieses Produkt zu leugnen?"
Deny,Verweigern
Reset,Reset
Do you want set commission for product?,Wollen Sie Provision für das Produkt eingestellt?
View Product,Produkt anzeigen
View Seller,Verkäufer
All Store Views,Alle Store-Ansichten
Delete ${ $.$data.name },Löschen $ {$. $ Data.name}
Are you sure you want to delete a ${ $.$data.name } record?,"Sind Sie sicher, dass Sie einen $ {$. $ Data.name} Datensatz löschen?"
Approved ${ $.$data.name },Genehmigt $ {$. $ Data.name}
Are you sure you want to enable a ${ $.$data.name } record?,"Sind Sie sicher, dass Sie einen $ {$. $ Data.name} Datensatz aktivieren?"
Disapproved ${ $.$data.name },Abgelehnt $ {$. $ Data.name}
Are you sure you want to disable a ${ $.$data.name } record?,"Sind Sie sicher, dass Sie einen $ {$. $ Data.name} Datensatz deaktivieren?"
Complete Withdrawal,vollständiger Rückzug
Canceled,Abgebrochen
Add Attribute,Attribute hinzufügen
Add Selected,Auswahl hinzufügen
Select Attribute,Wählen Sie Attribut
New Attribute,neues Attribut
New Category,Neue Kategorie
Categories,Kategorien
[GLOBAL],[GLOBAL]
Customizable Options,Optionen-
Custom options let customers choose the product variations they want.,Benutzerdefinierte Optionen können Kunden die Produktvariationen sie wollen wählen.
Import Options,Importoptionen
Add Option,Add Option
New Option,neue Option
Select Product,Ausgewähltes Produkt
Import,Importieren
Option Title,Option Titel
Add Value,Mehrwert
Option Type,Option Typ
-- Please select --,-- Bitte auswählen --
Required,Erforderlich
Price Type,Preis Art
Max Characters,Max Characters
Compatible File Extensions,Kompatible Dateierweiterungen
Maximum Image Size,Maximale Bildgröße
Please leave blank if it is not an image.,"Bitte leer lassen, wenn es nicht ein Bild ist."
px.,px.
%1,1%
[WEBSITE],[WEBSEITE]
[STORE VIEW],[STORE VIEW]
This item has weight,Dieser Artikel hat Gewicht
This item has no weight,Dieser Artikel hat kein Gewicht
Set Product as New From,Set Product as New Von
"Related Products, Up-Sells, and Cross-Sells","Verwandte Produkte, Up-Sells und Cross-Sells"
Related products are shown to customers in addition to the item the customer is looking at.,Verwandte Produkte werden den Kunden neben dem Produkt entspricht der Kunde sucht.
Add Related Products,Hinzufügen ähnliche Produkte
Related Products,Verwandte Produkte
An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.,Ein Up-Selling-Artikel wird als teurer oder höherwertiger Alternative zum Produkt an den Kunden angeboten der Kunde sucht.
Add Up-Sell Products,Up-Sell Produkte
Up-Sell Products,Up-Sell Produkte
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Diese „impulse-buy“ Produkte erscheinen neben den Warenkorb als Quer verkauft, um die Elemente bereits in der Warenkorb legen."
Add Cross-Sell Products,In Cross-Selling Produkte
Cross-Sell Products,Cross-Selling Produkte
Add Selected Products,Ausgewählte Produkte
Remove,Entfernen
Thumbnail,Miniaturansicht
Product in Websites,Produkt in Websites
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Wenn Ihr Magento-Website mehrere Ansichten hat, können Sie den Bereich auf eine bestimmte Ansicht zu übernehmen."
Websites,Webseiten
name,Name
Copy Data from,Kopieren von Daten aus
Browse to find or drag image here,Wechseln Sie zu finden oder Drag-Bild hier
Delete image,Lösche Bild
Hidden,Versteckt
Alt Text,Alt-Text
Image Size,Bildgröße
{size},{Größe}
Image Resolution,Bildauflösung
{width}^{height} px,{Width} ^ {height} px
Browse Files...,Dateien durchsuchen...
Choose Affected Attribute Set,Wählen Sie Betroffene Attribut Set
Confirm,Bestätigen
start typing to search attribute,Eingabe starten Attribut suchen
Title:,Titel:
Uploaded:,hochgeladen:
Uploader:,Sender:
Duration:,Dauer:
Basic Settings,Grundeinstellungen
Advanced Settings,Erweiterte Einstellungen
Changes have been made to this section that have not been saved.,"Änderungen wurden an diesem Abschnitt gemacht, die nicht gespeichert wurden."
This tab contains invalid data. Please resolve this before saving.,Dieses Register enthält ungültige Daten. Bitte lösen Sie dieses Problem vor dem Speichern.
Continue,Fortsetzen
Mass Actions,Massenaktionen
Select All,Wählen Sie Alle
Unselect All,Alles wiederufen
Select Visible,wählen Sie Sichtbar
Unselect Visible,Unselect Visible
Upload,Hochladen
Upload Image Product,Bild hochladen Produkt
Product Upload,Artikel hochladen
Import Settings,Importeinstellungen
Check Data,Daten prüfen
Please Select,Bitte auswählen
Download Sample File,Download Beispieldatei
Import Behavior,Importverhalten
Add/Update,Hinzufügen / Aktualisieren
Error Handling,Fehlerbehandlung
Stop on Error,Stop on Error
Skip error entries,Überspringen Fehlereinträge
Allowed Errors Count,Erlaubt Fehler Count
Please specify number of errors to halt import process,Bitte geben Sie die Anzahl von Fehlern zu stoppen Import
Field separator,Feldtrenn
Multiple value separator,Mehrfachwert-Trenn
File to Import,Datei zu importieren
Select File to Import,Wählen Sie Datei zu importieren
Images File Directory,Bilder Dateiverzeichnis
*Notice Import image first,* Hinweis Import Bild zuerst
Additional Settings,Zusätzliche Einstellungen
records found,Datensätze gefunden
selected,ausgewählt
per page,pro Seite
Previous page,Vorherige Seite
of %1,von 1%
Next page,Nächste Seite
Export to:,Exportieren nach:
Marketplace,Marktplatz
Marketplace Dashboard,Marktplatz-Dashboard
Seller Profile,Verkäuferprofil
Manager Product,Manager Produkt
Create Attribute,Attribut erstellen
New Products,Neue Produkte
My Products List,Meine Produkte
My Transaction List,Meine Transaktionsliste
Manage Print PDF Header Info,Verwalten Druck PDF Kopf-Info
My Order History,Meine Aufträge
Become Seller,werden Sie Verkäufer
Personal Information,Persönliche Angaben
Seller General,Verkäufer Allgemein
Group,Gruppe
Url Key,URL Key
"Example: Insert landofcoder,url shop will ","Beispiel: Insert landofcoder, URL-Shop finden"
Address Information,Adresse
Company,Unternehmen
Phone Number,Telefonnummer
Street Address,Adresse
Street Address %1,Adresse 1
City,Stadt
State/Province,Staat / Provinz
"Please select a region, state or province.","Bitte wählen Sie eine Region, Staat oder Provinz."
Zip/Postal Code,PLZ / Postleitzahl
* Required Fields,* Benötigte Felder
Sign-in Information,Log-in Informationen
Password,Passwort
Password Strength,Passwortstärke
No Password,Kein Passwort
Confirm Password,Kennwort bestätigen
Privacy Policy,Datenschutz-Bestimmungen
I agree the Terms and Condition,Ich stimme den Bedingungen und Zustand
Terms and Conditions,Geschäftsbedingungen
Create an Account,Ein Konto erstellen
Back,Zurück
Sold By,Verkauft durch
Visit Shop,Besuchen Geschäft
We can't find seller matching the selection.,Wir können nicht Verkäufer entsprechend der Auswahl finden.
Created At,Hergestellt in
Post Reply Message,Antwort schreiben Nachricht
Message ,Botschaft
Post Reply,Briefantwort
History Message,Geschichte Meldung
We can't find products matching the selection.,Wir können keine Produkte entsprechend der Auswahl bereit.
Add to Cart,in den Warenkorb legen
In stock,Auf Lager
Out of stock,Ausverkauft
Learn More,Erfahren Sie mehr
Qty,Anz
 Sales, Der Umsatz
 Sale, Verkauf
Joined since ,Registriert seit
What’s on your mind?,Was haben Sie auf dem Herzen?
Submit,einreichen
Customer Name,Kundenname
Customer Email,Kunden-eMail
"Turn in to a seller today and enjoy some incredible benefits like
				adding logo to your profile page for better branding, setting up
				multiple products to improve conversions, etc.","Biegen Sie in an einen Verkäufer heute und genießen Sie einige unglaubliche Vorteile wie
Hinzufügen Logo für eine bessere Branding Ihrer Profilseite, Einrichten
mehr Produkte Umwandlungen zu verbessern, usw."
Click the button to become a Seller,Klicken Sie auf die Schaltfläche ein Verkäufer werden
